player,position,team,games_starts,minutes_90s,goals,assists,pens_att,goals_assists_per90,xg,xg_assists,shots_on_target_pct,goals_per_shot_on_target,passes_pct,passes_into_final_third,passes_into_penalty_area,progressive_passes,gca,gca_dribbles,gca_shots,dribbles_completed_pct,dispossessed,cards_red,ball_recoveries,aerials_won_pct,tackles_won,dribble_tackles_pct,blocks,clearances,tackles_interceptions,errors
Aaron Mooy,MF,Australia,4,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.3,22.0,1.0,14.0,0.0,0.0,0.0,66.7,4.0,0,35.0,40.0,6,75.0,6.0,9.0,12.0,0.0
Aaron Ramsey,MF,Wales,3,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.6,7.0,1.0,5.0,0.0,0.0,0.0,25.0,4.0,0,19.0,0.0,0,0.0,4.0,2.0,2.0,1.0
Abdelhamid Sabiri,MF,Morocco,2,2.0,0,1,0,0.5,0.1,0.0,0.0,0.0,77.6,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,7.0,50.0,1,33.3,3.0,3.0,8.0,0.0
Abdelkarim Hassan,DF,Qatar,3,3.0,0,0,0,0.0,0.3,0.0,0.0,0.0,75.8,13.0,1.0,8.0,1.0,0.0,0.0,20.0,0.0,0,11.0,75.0,3,75.0,3.0,5.0,8.0,0.0
Abderrazak Hamdallah,FW,Morocco,0,0.8,0,0,0,0.0,0.4,0.0,50.0,0.0,53.3,1.0,0.0,0.0,0.0,0.0,0.0,66.7,3.0,0,4.0,12.5,0,0.0,0.0,2.0,0.0,0.0
Abdessamad Ezzalzouli,FW,Morocco,0,1.0,0,0,0,0.0,0.1,0.0,0.0,0.0,76.9,0.0,0.0,2.0,0.0,0.0,0.0,50.0,1.0,0,4.0,33.3,2,100.0,4.0,3.0,3.0,0.0
Abdou Diallo,DF,Senegal,4,3.7,0,0,0,0.0,0.0,0.0,0.0,0.0,74.7,10.0,1.0,8.0,1.0,0.0,0.0,0.0,2.0,0,17.0,53.8,2,100.0,1.0,10.0,3.0,0.0
Abdul Fatawu Issahaku,FW,Ghana,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0
Abdulaziz Hatem,MF,Qatar,2,2.2,0,0,0,0.0,0.0,0.0,100.0,0.0,79.1,3.0,0.0,1.0,0.0,0.0,0.0,100.0,1.0,0,4.0,33.3,1,50.0,0.0,0.0,2.0,0.0
Abdulelah Al-Amri,DF,Saudi Arabia,2,2.0,0,0,0,0.0,0.1,0.0,0.0,0.0,71.2,13.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0,15.0,71.4,0,0.0,2.0,10.0,5.0,0.0
Abdulellah Al-Malki,MF,Saudi Arabia,2,1.9,0,0,0,0.0,0.1,0.0,0.0,0.0,78.6,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,9.0,0.0,1,33.3,3.0,4.0,5.0,1.0
Abdullah Madu,DF,Saudi Arabia,0,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,50.0,0,,3.0,2.0,1.0,0.0
